Tell me what you|I|Chloe can do,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
what can you|I|Chloe do,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
? ? what your features are,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
what are your features,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Call Agent
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Quickstart,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Quickstart,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Quickstart,Chloe Skill Quickstart
* repeat *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
* again *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
* one more time *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"I can tell you the status of your minutes and battery level. You can say, ""how many minutes do I have?"" or ""how much battery do I have?"" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Privacy Mode
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Call Agent,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Call Agent,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Call Agent,Chloe Skill Call Agent
* repeat *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
* again *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
* one more time *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"To turn privacy mode on and off during a call, you can press on the call button once. Privacy mode disables your audio and video so that the agent cannot hear or see anything on your end. Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Flashlight
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Privacy Mode,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Privacy Mode,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
* repeat *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
* again *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
