Explorer Statement,Response,From-state,To-state
Hello User,I heard you. How can I help you?,,
Hi,Hi! I'm Bot. How can I help you?,,
Hey,Hi! I'm Bot. How can I help you?,,
Hey,Hi! I'm Bot. How can I help you.,,
Hello,Hi! I'm Bot. How can I help you?,,
Yo,Hi! I'm Bot. How can I help you.,,
,Hi! I'm Bot. How can I help you?,,
Hi,,Hi! I'm Bot. I'm here to assist you. I can describe a scene by recognizing objects.,,
Hey,Hi! I'm Bot. I'm here to assist you. I can describe a scene by recognizing objects.,,
Hey Bot,Hi! What can I do for you?,,
Hey Bot are you there?,Hi! Yes. I'm ready to help.,,
What can you do,"Hi! I can read documents, and product labels. I can help you find medicine bottles. And I can describe the objects that are nearby.",,
Hi Bot,Hi! How can I help you.,,
Hi Bot,"Hi user, how can I help you?",,
"Testing 1, 2, 3",It sounds like you sent me a test message.,,
read this,"Hi, that looks like a {document_type} {document_page} that says {document_text}”",,
